Device ID,Vehicle Type,Trip Duration,duration_minutes,Trip Distance,Start Time,End Time,month,Hour,day ,Start District,End District,Origin Cell ID,Destination Cell ID,Year,Start Latitude,Start Longitude,End Latitude,End Longitude,status
7c76c721-6bf5-48df-8269-99693f89595b,bicycle,361,6.02,1722,07/24/2018 11:15:00,07/24/2018 11:15:00,7,23,2,3,9,15808,15018,2018,30.264,-97.727,30.259,-97.739,Active
6f203a51-d29e-45d7-83ac-a802a1c8a2c7,bicycle,2621,43.68,5166,10/07/2018 22:00:00,10/07/2018 22:45:00,7,22,2,9,9,15662,15504,2018,30.291,-97.73,30.291,-97.732,Active
1858b897-6b46-4ec1-8ce5-c3ceab08437a,bicycle,466,7.77,1931,10/07/2018 22:00:00,10/07/2018 22:00:00,7,22,2,1,9,15660,14876,2018,30.287,-97.73,30.296,-97.742,Active
ebc04233-e4d8-4148-9ddc-ff3971481941,bicycle,1362,22.7,3460,10/07/2018 22:15:00,10/07/2018 22:30:00,7,22,2,9,9,14385,14393,2018,30.251,-97.749,30.27,-97.749,Active
291fb54e-1c8b-4e66-8db1-33e8e62c7e4e,bicycle,1744,29.07,5649,10/07/2018 22:30:00,10/07/2018 22:45:00,7,22,2,5,3,13442,15964,2018,30.256,-97.763,30.261,-97.725,Active
542148cd-7b3e-480b-9ee4-cce69dc13097,bicycle,548,9.13,2800,10/07/2018 22:30:00,10/07/2018 22:30:00,7,22,2,9,9,14226,15018,2018,30.248,-97.75,30.258,-97.739,Active
257894d1-2acc-4a5d-bbbf-4494c45f4006,bicycle,355,5.92,1802,10/07/2018 23:00:00,10/07/2018 23:00:00,7,23,2,3,3,15007,15798,2018,30.232,-97.738,30.241,-97.726,Active
54241bdb-c62c-423b-9e88-66f78051e4d9,bicycle,903,15.05,2832,11/07/2018 00:30:00,11/07/2018 00:45:00,7,0,3,9,9,15177,13920,2018,30.261,-97.737,30.269,-97.756,Active
fa0af3f1-072b-4608-8c1d-1563f6e04f57,bicycle,729,12.15,2221,11/07/2018 01:45:00,11/07/2018 02:00:00,7,1,3,9,9,14393,15179,2018,30.271,-97.749,30.267,-97.737,Active
9d87f13a-faa3-49e1-b08e-cbdf497791f3,bicycle,2520,42,5,10/28/2018 03:15:00,10/28/2018 04:00:00,10,15,7,9,5,14389,13760,2018,30.261,-97.749,30.262,-97.757,Active
c73b63a3-9950-4f91-9f2b-80b56ee12005,bicycle,563,9.38,2060,11/07/2018 01:45:00,11/07/2018 02:00:00,7,1,3,1,1,16285,16604,2018,30.274,-97.72,30.285,-97.715,Active
