idstation,lat1,lon1
15176,30.26,-97.738
14705,30.263,-97.743
15491,30.26,-97.733
13441,30.253,-97.764
16280,30.263,-97.72
14851,30.235,-97.742
14389,30.261,-97.749
16115,30.245,-97.723
13768,30.283,-97.758
15179,30.266,-97.737
16285,30.275,-97.72
14549,30.267,-97.745
14875,30.292,-97.742
15026,30.278,-97.739
15514,30.314,-97.733
15514,30.314,-97.733
14389,30.261,-97.75
13292,30.274,-97.764
13292,30.274,-97.764
15037,30.304,-97.738
15019,30.26,-97.74
15018,30.258,-97.739
16438,30.265,-97.717
13909,30.242,-97.756
16285,30.275,-97.72
13920,30.27,-97.756
14235,30.27,-97.751
16114,30.243,-97.723
12973,30.264,-97.77
15011,30.241,-97.74
14874,30.29,-97.742
14874,30.29,-97.742
12653,30.252,-97.776
15964,30.261,-97.725
14235,30.269,-97.75
14707,30.268,-97.744
12973,30.264,-97.771
14707,30.268,-97.744
14706,30.264,-97.744
14077,30.268,-97.754
12973,30.264,-97.771
15962,30.257,-97.725
14390,30.262,-97.748
15017,30.256,-97.739
15018,30.258,-97.739
11399,30.267,-97.795
16287,30.28,-97.721
16446,30.284,-97.717
13289,30.267,-97.765
16583,30.234,-97.716
15179,30.266,-97.737
14389,30.261,-97.749
15032,30.292,-97.739
15021,30.265,-97.739
14865,30.269,-97.741
14225,30.246,-97.751
15965,30.263,-97.725
15965,30.263,-97.725
16287,30.28,-97.721
15021,30.265,-97.739
15967,30.267,-97.725
14393,30.27,-97.749
14705,30.263,-97.743
13445,30.263,-97.763
14550,30.269,-97.745
12177,30.244,-97.782
15178,30.264,-97.738
15016,30.254,-97.739
15962,30.257,-97.724
14389,30.26,-97.749
14549,30.267,-97.746
15329,30.249,-97.735
15176,30.26,-97.738
14705,30.263,-97.743
14861,30.26,-97.741
13289,30.267,-97.765
12973,30.264,-97.771
14393,30.27,-97.749
14866,30.271,-97.742
13603,30.264,-97.76
15018,30.258,-97.739
14872,30.286,-97.742
14235,30.27,-97.751
13602,30.261,-97.759
14861,30.26,-97.742
14389,30.26,-97.749
14077,30.268,-97.752
15022,30.267,-97.739
17075,30.281,-97.709
15022,30.267,-97.739
14874,30.29,-97.742
16122,30.261,-97.722
13920,30.27,-97.756
16121,30.26,-97.723
15659,30.284,-97.73
15807,30.262,-97.726
14710,30.275,-97.744
14546,30.259,-97.746
13925,30.281,-97.757
17533,30.247,-97.701
14873,30.287,-97.742
14714,30.285,-97.743
13130,30.264,-97.768
16433,30.253,-97.718
15480,30.234,-97.732
13599,30.255,-97.761
13445,30.264,-97.763
13760,30.263,-97.759
14865,30.268,-97.741
14234,30.266,-97.752
14389,30.261,-97.749
12804,30.237,-97.771
14401,30.29,-97.748
13447,30.268,-97.764
14075,30.264,-97.754
14386,30.254,-97.748
15017,30.257,-97.739
12965,30.245,-97.769
16122,30.262,-97.722
14877,30.298,-97.741
14385,30.25,-97.749
15335,30.264,-97.735
13920,30.268,-97.755
14712,30.281,-97.744
13911,30.248,-97.755
15800,30.244,-97.726
14873,30.288,-97.742
16279,30.262,-97.72
14233,30.265,-97.75
14714,30.285,-97.743
13916,30.259,-97.754
15650,30.264,-97.73
14877,30.297,-97.742
13918,30.264,-97.755
14877,30.297,-97.742
14705,30.264,-97.743
14877,30.297,-97.741
16600,30.275,-97.714
15962,30.256,-97.724
16122,30.262,-97.722
15798,30.24,-97.728
15798,30.24,-97.728
13594,30.243,-97.762
15342,30.28,-97.733
16591,30.254,-97.715
15480,30.234,-97.732
15810,30.269,-97.727
16133,30.289,-97.722
14865,30.268,-97.741
16117,30.25,-97.722
16287,30.28,-97.721
14707,30.268,-97.743
13753,30.247,-97.757
13753,30.247,-97.757
16119,30.256,-97.722
15329,30.249,-97.735
13134,30.272,-97.768
16285,30.275,-97.72
14395,30.276,-97.749
14080,30.276,-97.753
16279,30.262,-97.72
13594,30.243,-97.762
14401,30.29,-97.748
15965,30.263,-97.725
15964,30.262,-97.725
16604,30.285,-97.716
13445,30.263,-97.763
14226,30.248,-97.75
15967,30.269,-97.724
13760,30.263,-97.759
16448,30.287,-97.718
15019,30.262,-97.739
15019,30.262,-97.739
14077,30.268,-97.753
14392,30.269,-97.748
15330,30.251,-97.735
15337,30.268,-97.733
15178,30.264,-97.737
14389,30.261,-97.748
14546,30.259,-97.747
14706,30.265,-97.742
14861,30.26,-97.741
14243,30.289,-97.751
14876,30.296,-97.742
