Vehicle Type,Trip Duration,duration,Trip Distance,datetime,End Time,month,hour,day ,Start District,End District,checkout_kiosk_id,checkin_kiosk_id,year,lat,lon,lat1,lon1,status
bicycle,45,0.75,0,10-06-2018 20:45,10-06-2018 20:45,10,20,6,9,9,15178,15178,2018,30.264,-97.737,30.264,-97.737,Active
bicycle,2160,36,2929,08/24/2018 11:45:00,08/24/2018 12:15:00,8,11,5,5,5,13442,13442,2018,30.255,-97.762,30.255,-97.762,Active
bicycle,2072,34.53,4066,09-08-2018 23:30,09-09-2018 00:00,9,23,6,9,3,14392,15641,2018,30.268,-97.747,30.242,-97.728,Active
bicycle,480,8,1283,09/13/2018 01:30:00,09/13/2018 01:30:00,9,13,4,5,5,12814,13446,2018,30.261,-97.772,30.264,-97.763,Active
bicycle,9,0.15,157,09-12-2018 11:30,09-12-2018 11:30,9,11,3,8,8,13288,13289,2018,30.265,-97.765,30.266,-97.765,Active
bicycle,480,8,4,09/23/2018 09:45:00,09/23/2018 10:00:00,9,21,7,9,9,14706,14706,2018,30.264,-97.744,30.264,-97.744,Active
bicycle,25,0.42,0,08/23/2018 03:45:00,08/23/2018 03:45:00,8,15,4,3,3,15807,15807,2018,30.262,-97.726,30.262,-97.726,Active
bicycle,360,6,1276,09/16/2018 11:30:00,09/16/2018 11:30:00,9,11,7,9,5,14546,13759,2018,30.259,-97.747,30.26,-97.758,Active
bicycle,2309,38.48,1871,09-08-2018 18:00,09-08-2018 18:30,9,18,6,9,9,13134,14233,2018,30.272,-97.768,30.264,-97.751,Active
bicycle,780,13,825,10-03-2018 15:45,10-03-2018 16:00,10,15,3,9,5,14389,13918,2018,30.261,-97.749,30.264,-97.756,Active
bicycle,29,0.48,1,10-03-2018 21:00,10-03-2018 21:15,10,21,3,9,9,14545,14545,2018,30.256,-97.746,30.256,-97.746,Active
bicycle,24,0.4,5,10/23/2018 07:15:00,10/23/2018 07:30:00,10,19,2,8,8,11237,11237,2018,30.255,-97.796,30.255,-97.797,Active
bicycle,2520,42,4930,09-01-2018 16:15,09-01-2018 17:00,9,16,6,8,9,13289,14547,2018,30.266,-97.765,30.26,-97.746,Active
bicycle,774,12.9,2341,09/22/2018 02:30:00,09/22/2018 02:45:00,9,14,6,9,9,14393,14391,2018,30.269,-97.748,30.265,-97.749,Active
bicycle,2948,49.13,6587,09-01-2018 12:30,09-01-2018 13:30,9,12,6,5,9,13918,13916,2018,30.264,-97.756,30.26,-97.755,Active
bicycle,3,0.05,0,09/26/2018 01:30:00,09/26/2018 01:30:00,9,13,3,9,9,15021,15021,2018,30.264,-97.74,30.264,-97.74,Active
bicycle,2173,36.22,2802,09/27/2018 12:00:00,09/27/2018 12:45:00,9,12,4,9,9,14863,14385,2018,30.265,-97.742,30.251,-97.749,Active
bicycle,660,11,0,12/13/2018 06:00:00,12/13/2018 06:15:00,12,18,4,9,9,14865,14865,2018,30.269,-97.74,30.269,-97.74,Active
bicycle,480,8,1126,09-08-2018 15:30,09-08-2018 15:30,9,15,6,9,9,14706,14234,2018,30.266,-97.743,30.265,-97.751,Active
bicycle,526,8.77,1394,10-06-2018 23:00,10-06-2018 23:15,10,23,6,9,9,14389,14701,2018,30.261,-97.749,30.254,-97.744,Active
bicycle,2753,45.88,2970,10-05-2018 21:15,10-05-2018 22:00,10,21,5,5,9,13288,14704,2018,30.264,-97.764,30.26,-97.744,Active
bicycle,1779,29.65,6918,10-04-2018 08:45,10-04-2018 09:15,10,8,4,5,5,13918,13918,2018,30.264,-97.756,30.264,-97.756,Active
bicycle,360,6,669,08/30/2018 10:45:00,08/30/2018 10:45:00,8,10,4,9,9,14391,14235,2018,30.265,-97.748,30.27,-97.75,Active
bicycle,2403,40.05,0,10-01-2018 17:00,10-01-2018 17:45,10,17,1,1,1,15182,15182,2018,30.273,-97.736,30.273,-97.736,Active
bicycle,60,1,100,09-02-2018 20:00,09-02-2018 20:00,9,20,7,5,5,13445,13445,2018,30.264,-97.763,30.263,-97.763,Active
bicycle,420,7,0,10-05-2018 19:00,10-05-2018 19:00,10,19,5,8,8,13131,13131,2018,30.265,-97.766,30.265,-97.766,Active
bicycle,332,5.53,0,09/22/2018 04:00:00,09/22/2018 04:00:00,9,16,6,9,9,14863,14863,2018,30.264,-97.741,30.264,-97.741,Active
