stationid,lat,lon
13441,30.253,-97.764
14401,30.29,-97.748
14717,30.291,-97.744
16115,30.245,-97.723
13292,30.274,-97.764
13292,30.274,-97.764
15514,30.314,-97.733
15668,30.306,-97.73
15180,30.27,-97.736
16285,30.275,-97.72
13909,30.242,-97.756
16438,30.265,-97.717
13292,30.274,-97.764
14549,30.267,-97.745
14865,30.268,-97.741
12973,30.264,-97.771
14235,30.27,-97.75
15657,30.281,-97.729
14874,30.29,-97.742
14079,30.272,-97.753
16279,30.26,-97.72
14235,30.269,-97.751
17075,30.28,-97.709
15020,30.264,-97.739
14711,30.278,-97.744
14706,30.264,-97.744
13920,30.269,-97.755
15021,30.265,-97.739
16119,30.256,-97.722
12973,30.264,-97.771
15019,30.261,-97.738
15957,30.245,-97.724
16917,30.281,-97.711
14707,30.268,-97.744
14391,30.265,-97.749
14707,30.268,-97.744
15964,30.261,-97.725
14707,30.267,-97.742
14389,30.26,-97.749
12973,30.264,-97.771
13445,30.264,-97.763
15037,30.303,-97.738
13917,30.263,-97.755
14235,30.27,-97.75
14393,30.27,-97.749
16762,30.285,-97.713
15021,30.265,-97.74
16287,30.28,-97.721
12809,30.25,-97.773
15020,30.262,-97.738
14548,30.265,-97.745
13917,30.262,-97.756
13920,30.27,-97.756
15798,30.241,-97.726
12973,30.264,-97.771
16121,30.26,-97.723
14389,30.261,-97.749
13922,30.275,-97.755
15019,30.261,-97.738
14393,30.27,-97.748
14705,30.264,-97.743
14865,30.269,-97.742
12973,30.264,-97.771
13920,30.269,-97.757
12495,30.251,-97.776
14861,30.26,-97.741
14389,30.261,-97.749
15495,30.269,-97.732
15176,30.26,-97.738
13920,30.27,-97.756
14550,30.268,-97.746
13759,30.261,-97.759
12973,30.264,-97.771
14707,30.267,-97.744
15018,30.258,-97.739
14550,30.269,-97.745
15018,30.258,-97.739
14874,30.29,-97.742
15180,30.268,-97.736
12177,30.244,-97.782
16121,30.26,-97.723
15965,30.262,-97.725
15486,30.248,-97.733
14235,30.269,-97.751
14546,30.26,-97.747
13925,30.281,-97.757
14235,30.27,-97.751
15187,30.285,-97.736
14873,30.287,-97.742
16593,30.259,-97.715
16591,30.254,-97.716
14223,30.241,-97.751
13599,30.255,-97.761
15018,30.258,-97.739
13602,30.262,-97.762
14385,30.251,-97.749
14234,30.266,-97.752
14389,30.261,-97.749
13920,30.268,-97.755
14707,30.269,-97.744
13760,30.263,-97.759
16112,30.239,-97.722
14544,30.254,-97.747
14076,30.266,-97.753
12804,30.237,-97.771
16593,30.259,-97.715
14722,30.304,-97.744
14385,30.25,-97.749
15334,30.262,-97.734
13447,30.268,-97.764
14075,30.264,-97.754
14071,30.254,-97.754
15800,30.244,-97.726
14715,30.288,-97.743
15650,30.264,-97.729
14231,30.259,-97.75
14873,30.288,-97.742
14077,30.267,-97.754
16122,30.262,-97.723
14717,30.291,-97.744
14389,30.261,-97.748
14558,30.288,-97.747
13288,30.265,-97.766
14401,30.29,-97.748
15965,30.263,-97.725
15017,30.257,-97.739
15650,30.264,-97.73
14865,30.268,-97.741
14865,30.268,-97.741
13599,30.256,-97.761
15179,30.266,-97.736
14865,30.27,-97.742
15480,30.234,-97.732
16604,30.285,-97.715
15335,30.264,-97.735
15652,30.268,-97.731
15018,30.258,-97.738
16907,30.257,-97.711
16122,30.262,-97.721
16600,30.275,-97.714
16287,30.28,-97.721
16600,30.275,-97.714
15329,30.249,-97.735
16122,30.262,-97.722
16119,30.256,-97.722
14078,30.27,-97.754
14707,30.268,-97.743
13134,30.272,-97.768
14080,30.276,-97.753
14864,30.267,-97.741
14863,30.265,-97.742
14544,30.256,-97.746
14864,30.267,-97.741
13289,30.265,-97.765
13442,30.256,-97.763
12973,30.264,-97.771
14226,30.248,-97.75
16604,30.285,-97.716
16133,30.289,-97.722
16448,30.287,-97.718
15810,30.268,-97.727
16750,30.257,-97.712
14547,30.261,-97.747
14077,30.267,-97.753
15178,30.264,-97.738
14389,30.261,-97.748
14225,30.245,-97.751
14701,30.254,-97.744
14861,30.26,-97.741
14243,30.288,-97.751
14877,30.297,-97.742
14392,30.268,-97.748
